FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FTpct,2PA,2Ppct,3PA,3Ppct,SHOOTINGpct,PPOINTSPG,REBOUNDSPG,ASSISTSPG,STEALSPG,BLOCKSPG
Trae Young,Atl,G,21.9,60,35.3,559,0.86,681,0.501,568,0.361,0.595,29.6,4.2,9.3,1.08,0.13
John Collins,Atl,F,22.89,41,33.2,150,0.8,458,0.642,147,0.401,0.659,21.6,10.1,1.5,0.76,1.61
De'Andre Hunter,Atl,F-G,22.7,63,32,144,0.764,379,0.454,304,0.355,0.521,12.3,4.5,1.8,0.7,0.29
Kevin Huerter,Atl,G-F,21.97,56,31.4,64,0.828,276,0.453,334,0.38,0.536,12.2,4.1,3.8,0.91,0.48
Cam Reddish,Atl,F-G,20.95,58,26.7,126,0.802,304,0.428,250,0.332,0.5,10.5,3.7,1.5,1.07,0.48
Jayson Tatum,Bos,F-G,22.45,66,34.3,313,0.812,758,0.479,469,0.403,0.567,23.4,7,3,1.42,0.86
Jaylen Brown,Bos,F-G,23.81,57,33.9,243,0.724,549,0.543,338,0.382,0.583,20.3,6.4,2.1,1.16,0.35
Gordon Hayward,Bos,F,30.4,52,33.5,145,0.855,478,0.554,222,0.383,0.595,17.5,6.7,4.1,0.73,0.42
Marcus Smart,Bos,G,26.44,60,32,152,0.836,287,0.415,395,0.347,0.518,12.9,3.8,4.9,1.67,0.48
Kemba Walker,Bos,G,30.27,56,31.1,242,0.864,416,0.476,473,0.381,0.575,20.4,3.9,4.8,0.86,0.5
Kyrie Irving,Bro,G,28.39,20,32.9,102,0.922,274,0.522,142,0.394,0.595,27.4,5.2,6.4,1.35,0.5
Spencer Dinwiddie,Bro,G,27.36,64,31.2,446,0.778,620,0.485,400,0.308,0.542,20.6,3.5,6.8,0.63,0.33
Joe Harris,Bro,G-F,28.94,69,30.8,89,0.719,378,0.553,406,0.424,0.606,14.5,4.3,2.1,0.59,0.25
Caris LeVert,Bro,G,25.97,45,29.6,197,0.711,512,0.451,220,0.364,0.514,18.7,4.2,4.4,1.18,0.22
Taurean Prince,Bro,F,26.4,64,29,89,0.798,308,0.429,431,0.339,0.497,12.1,6,1.8,0.89,0.39
Devonte' Graham,Cha,G,25.48,63,35.1,233,0.82,378,0.397,585,0.373,0.537,18.2,3.3,7.5,0.98,0.24
Terry Rozier,Cha,G,26.41,63,34.4,191,0.869,518,0.436,425,0.405,0.552,18,4.4,4.1,0.95,0.16
Miles Bridges,Cha,F,22.4,65,30.7,131,0.809,453,0.486,300,0.33,0.52,13,5.6,1.8,0.62,0.74
P.J. Washington,Cha,F,21.98,58,30.3,135,0.652,359,0.507,230,0.374,0.548,12.2,5.4,2.1,0.9,0.78
Cody Zeller,Cha,C,27.86,58,23.1,179,0.682,405,0.575,75,0.24,0.574,11.1,7.1,1.5,0.69,0.43
Zach LaVine,Chi,G-F,25.43,60,34.8,334,0.802,716,0.496,484,0.38,0.568,25.5,4.8,4.2,1.45,0.47
Lauri Markkanen,Chi,F-C,23.23,50,29.8,153,0.824,274,0.518,317,0.344,0.56,14.7,6.3,1.5,0.84,0.48
Wendell Carter Jr.,Chi,C-F,21.33,43,29.2,152,0.737,314,0.564,29,0.207,0.59,11.3,9.4,1.2,0.77,0.84
Tomas Satoransky,Chi,G,28.79,65,28.9,121,0.876,352,0.491,199,0.322,0.533,9.9,3.9,5.4,1.23,0.11
Coby White,Chi,G,20.49,65,25.8,129,0.791,416,0.43,376,0.354,0.506,13.2,3.6,2.7,0.75,0.09
Collin Sexton,Cle,G,21.61,65,33,267,0.846,832,0.5,255,0.38,0.56,20.8,3.2,3,1.02,0.11
Kevin Love,Cle,F,31.94,56,31.8,219,0.854,337,0.537,390,0.374,0.599,17.6,9.8,3.2,0.59,0.34
Darius Garland,Cle,G,20.55,59,30.9,72,0.875,402,0.435,296,0.355,0.499,12.3,1.9,3.9,0.69,0.07
Tristan Thompson,Cle,C-F,29.43,57,30.2,161,0.615,538,0.519,23,0.391,0.541,12,10.1,2.1,0.56,0.88
Cedi Osman,Cle,F,25.35,65,29.4,94,0.67,288,0.497,321,0.383,0.552,11,3.6,2.4,0.83,0.25
Luka Doncic,Dal,G-F,21.46,61,33.6,562,0.758,713,0.575,541,0.316,0.586,28.8,9.4,8.8,0.98,0.23
Kristaps Porzingis,Dal,F-C,25.04,57,31.8,283,0.799,529,0.484,403,0.352,0.551,20.4,9.5,1.8,0.72,2.02
Dorian Finney-Smith,Dal,F,27.28,71,29.9,108,0.722,219,0.589,303,0.376,0.595,9.5,5.7,1.6,0.63,0.55
Tim Hardaway Jr.,Dal,G,28.41,71,29.5,182,0.819,371,0.485,513,0.398,0.581,15.8,3.3,1.9,0.61,0.07
Dwight Powell,Dal,F-C,29.07,40,26.5,111,0.667,190,0.716,39,0.256,0.677,9.4,5.7,1.5,0.88,0.53
Will Barton,Den,G,29.61,58,33,135,0.77,450,0.498,288,0.375,0.549,15.1,6.3,3.7,1.07,0.5
Jamal Murray,Den,G,23.47,59,32.3,185,0.881,570,0.519,324,0.346,0.559,18.5,4,4.8,1.14,0.29
Nikola Jokic,Den,C,25.49,73,32,301,0.817,816,0.594,255,0.314,0.605,19.9,9.7,7,1.16,0.6
Gary Harris,Den,G,25.92,56,31.8,92,0.815,309,0.479,210,0.333,0.519,10.4,2.9,2.1,1.36,0.25
Jerami Grant,Den,F,26.43,71,26.6,194,0.747,381,0.538,252,0.389,0.591,12,3.5,1.2,0.7,0.8
Andre Drummond,Det,C,27.01,49,33.7,255,0.584,658,0.546,21,0.048,0.55,17.8,15.8,2.8,1.98,1.67
Luke Kennard,Det,G,24.14,28,32.9,75,0.893,159,0.491,183,0.399,0.589,15.8,3.5,4.1,0.43,0.21
Blake Griffin,Det,F,31.42,18,28.5,98,0.776,139,0.439,111,0.243,0.476,15.5,4.7,3.3,0.39,0.39
Bruce Brown,Det,G-F,24,58,28.2,119,0.739,351,0.47,96,0.344,0.518,8.9,4.7,4,1.09,0.5
